,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Cluster 488,3144,3146,3540,,25.4181,-8.2357,157.2924,1.1226,1.4082,1.1940,7.9064,2.6749,3.4421,2.8174,108.6614,,25.4184,-8.2354,157.2928,1.1229,1.4085,1.1945,7.9135,2.6752,3.4419,2.8178,108.6789,,25.4201,-8.2290,157.2941,1.1301,1.4101,1.1858,7.9154,2.6770,3.4355,2.8190,108.5978,,25.4181,-8.2357,157.2924,1.0047,1.1202,1.5507,7.3104,2.4511,2.5439,3.5519,92.7704,,25.4184,-8.2354,157.2928,1.0044,1.1201,1.5518,7.3132,2.4513,2.5436,3.5524,92.7802,,25.4201,-8.2290,157.2941,1.0109,1.1201,1.5477,7.3402,2.4266,2.5511,3.5518,92.1032,,27.0502%,11.1252%,2.2568%,0.5086%,24.0623%,8.6459%,13.5092%,0.0318%,0.2861%,0.1907%,0.0000%,0.0318%,0.0318%,12.2695%,0.0000%,,24.0395%,9.8870%,2.0056%,0.4520%,21.3842%,7.6836%,12.0056%,0.0282%,0.2542%,0.1695%,0.0000%,0.0282%,0.0282%,10.9040%,0.0000%,,851,350,71,16,757,272,425,1,9,6,0,1,1,386,0
Cluster 489,1415,1415,1570,,-27.5005,10.1094,156.4440,0.8883,0.8465,1.0053,3.1666,2.0432,2.0265,2.2073,38.2833,,-27.5005,10.1094,156.4440,0.8883,0.8465,1.0053,3.1666,2.0432,2.0265,2.2073,38.2833,,-27.4960,10.1109,156.4310,0.8871,0.8490,1.0020,3.1611,2.0387,2.0489,2.2203,38.8479,,-27.5005,10.1094,156.4440,0.7458,0.8290,1.1282,2.9217,1.6047,1.8164,2.5009,30.5339,,-27.5005,10.1094,156.4440,0.7458,0.8290,1.1282,2.9217,1.6047,1.8164,2.5009,30.5339,,-27.4960,10.1109,156.4310,0.7454,0.8312,1.1249,2.9191,1.6067,1.8269,2.5131,30.8998,,26.4311%,11.0954%,2.8269%,0.2120%,22.8975%,8.2686%,13.4276%,0.1413%,0.0707%,0.2827%,0.0000%,0.0000%,0.0000%,14.3463%,0.0000%,,23.8217%,10.0000%,2.5478%,0.1911%,20.6369%,7.4522%,12.1019%,0.1274%,0.0637%,0.2548%,0.0000%,0.0000%,0.0000%,12.9299%,0.0000%,,374,157,40,3,324,117,190,2,1,4,0,0,0,203,0
Cluster 490,1314,1314,1447,,-11.4393,-32.9333,157.9667,0.8550,0.8642,1.0347,3.2027,1.9095,2.0571,2.2634,37.2423,,-11.4393,-32.9333,157.9667,0.8550,0.8642,1.0347,3.2027,1.9095,2.0571,2.2634,37.2423,,-11.4482,-32.9151,157.9700,0.8559,0.8683,1.0366,3.2272,1.9185,2.0389,2.2802,37.3611,,-11.4393,-32.9333,157.9667,0.7975,0.9101,1.0413,3.1658,1.7259,2.0799,2.2647,34.0540,,-11.4393,-32.9333,157.9667,0.7975,0.9101,1.0413,3.1658,1.7259,2.0799,2.2647,34.0540,,-11.4482,-32.9151,157.9700,0.7969,0.9145,1.0440,3.1867,1.7692,2.0634,2.2882,34.9884,,23.4399%,11.1111%,2.2831%,0.3805%,25.0381%,6.7732%,16.4384%,0.0761%,0.0761%,0.2283%,0.0000%,0.0000%,0.0000%,14.1553%,0.0000%,,21.2854%,10.0898%,2.0733%,0.3455%,22.7367%,6.1507%,14.9274%,0.0691%,0.0691%,0.2073%,0.0000%,0.0000%,0.0000%,12.8542%,0.0000%,,308,146,30,5,329,89,216,1,1,3,0,0,0,186,0
Cluster 491,6077,6078,6836,,20.2379,-26.0091,158.7377,1.8021,1.1876,1.6555,14.8402,6.3204,2.8483,3.6511,275.3223,,20.2378,-26.0088,158.7379,1.8020,1.1877,1.6554,14.8401,6.3202,2.8486,3.6509,275.3301,,20.2481,-26.0063,158.7319,1.8080,1.1926,1.6462,14.8689,6.3305,2.8511,3.6570,276.4729,,20.2379,-26.0091,158.7377,1.0905,1.5609,1.9424,13.8488,2.7717,4.5997,5.3287,284.5640,,20.2378,-26.0088,158.7379,1.0905,1.5608,1.9424,13.8483,2.7714,4.6001,5.3281,284.5257,,20.2481,-26.0063,158.7319,1.0987,1.5559,1.9425,13.9096,2.7630,4.5155,5.3999,282.2023,,26.7687%,12.7180%,2.4350%,0.1974%,22.7377%,10.9740%,10.2172%,0.1316%,0.1152%,0.3291%,0.0000%,0.0000%,0.0165%,13.3597%,0.0000%,,23.8005%,11.3078%,2.1650%,0.1755%,20.2165%,9.7572%,9.0843%,0.1170%,0.1024%,0.2926%,0.0000%,0.0000%,0.0146%,11.8783%,0.0000%,,1627,773,148,12,1382,667,621,8,7,20,0,0,1,812,0
Cluster 492,868,868,946,,-23.8390,-25.3888,157.0614,0.6535,0.7921,0.9162,1.9866,1.5001,1.7277,1.9989,21.7021,,-23.8390,-25.3888,157.0614,0.6535,0.7921,0.9162,1.9866,1.5001,1.7277,1.9989,21.7021,,-23.8369,-25.3920,157.0657,0.6615,0.7911,0.9086,1.9919,1.5648,1.7245,2.1130,23.8843,,-23.8390,-25.3888,157.0614,0.6313,0.7925,0.9313,1.9517,1.4248,1.7255,2.0613,21.2274,,-23.8390,-25.3888,157.0614,0.6313,0.7925,0.9313,1.9517,1.4248,1.7255,2.0613,21.2274,,-23.8369,-25.3920,157.0657,0.6376,0.7974,0.9202,1.9596,1.4305,1.7850,2.0577,22.0077,,21.8894%,10.4839%,1.9585%,0.1152%,26.2673%,6.6820%,17.1659%,0.0000%,0.2304%,0.2304%,0.0000%,0.0000%,0.0000%,14.9770%,0.0000%,,20.0846%,9.6195%,1.7970%,0.1057%,24.1015%,6.1311%,15.7505%,0.0000%,0.2114%,0.2114%,0.0000%,0.0000%,0.0000%,13.7421%,0.0000%,,190,91,17,1,228,58,149,0,2,2,0,0,0,130,0
Cluster 493,237,237,259,,-19.4092,-18.1900,156.7890,0.5243,0.6270,0.5268,0.7254,1.2185,1.3116,1.1550,7.7322,,-19.4092,-18.1900,156.7890,0.5243,0.6270,0.5268,0.7254,1.2185,1.3116,1.1550,7.7322,,-19.3982,-18.1897,156.7910,0.5326,0.6209,0.5278,0.7311,1.2076,1.3113,1.1530,7.6476,,-19.4092,-18.1900,156.7890,0.4691,0.5160,0.6776,0.6871,0.9685,1.2396,1.3844,6.9618,,-19.4092,-18.1900,156.7890,0.4691,0.5160,0.6776,0.6871,0.9685,1.2396,1.3844,6.9618,,-19.3982,-18.1897,156.7910,0.4647,0.5246,0.6758,0.6900,0.9817,1.2277,1.3783,6.9582,,23.2068%,13.0802%,4.6414%,0.0000%,21.5190%,10.9705%,17.2996%,0.0000%,0.4219%,0.4219%,0.0000%,0.0000%,0.0000%,8.4388%,0.0000%,,21.2355%,11.9691%,4.2471%,0.0000%,19.6911%,10.0386%,15.8301%,0.0000%,0.3861%,0.3861%,0.0000%,0.0000%,0.0000%,7.7220%,0.0000%,,55,31,11,0,51,26,41,0,1,1,0,0,0,20,0
Cluster 494,559,559,601,,-17.8878,-6.6118,157.2890,0.6740,0.7085,0.6109,1.2219,1.6005,1.5727,1.3553,14.2901,,-17.8878,-6.6118,157.2890,0.6740,0.7085,0.6109,1.2219,1.6005,1.5727,1.3553,14.2901,,-17.8735,-6.6028,157.2770,0.6728,0.7048,0.6150,1.2215,1.5861,1.5721,1.3443,14.0409,,-17.8878,-6.6118,157.2890,0.5262,0.6193,0.8179,1.1164,1.1296,1.4050,1.7397,11.5659,,-17.8878,-6.6118,157.2890,0.5262,0.6193,0.8179,1.1164,1.1296,1.4050,1.7397,11.5659,,-17.8735,-6.6028,157.2770,0.5246,0.6198,0.8174,1.1134,1.1220,1.4015,1.7264,11.3711,,26.6547%,11.4490%,2.8623%,0.1789%,23.2558%,8.7657%,11.0912%,0.0000%,0.7156%,0.1789%,0.0000%,0.0000%,0.0000%,14.8479%,0.0000%,,24.7920%,10.6489%,2.6622%,0.1664%,21.6306%,8.1531%,10.3161%,0.0000%,0.6656%,0.1664%,0.0000%,0.0000%,0.0000%,13.8103%,0.0000%,,149,64,16,1,130,49,62,0,4,1,0,0,0,83,0
Cluster 495,318,318,353,,-28.7836,16.2616,156.5205,0.5713,0.5356,0.5804,0.7439,1.2427,1.3964,1.5341,11.1514,,-28.7836,16.2616,156.5205,0.5713,0.5356,0.5804,0.7439,1.2427,1.3964,1.5341,11.1514,,-28.7824,16.2404,156.5473,0.5687,0.5411,0.5960,0.7683,1.2434,1.4176,1.5802,11.6673,,-28.7836,16.2616,156.5205,0.4183,0.5434,0.6928,0.6595,0.9284,1.2751,1.6346,8.1050,,-28.7836,16.2616,156.5205,0.4183,0.5434,0.6928,0.6595,0.9284,1.2751,1.6346,8.1050,,-28.7824,16.2404,156.5473,0.4209,0.5381,0.7104,0.6740,0.9377,1.2655,1.6738,8.3195,,27.3585%,12.2642%,3.1447%,0.9434%,18.2390%,9.4340%,15.7233%,0.3145%,0.3145%,0.0000%,0.0000%,0.0000%,0.0000%,12.2642%,0.0000%,,24.6459%,11.0482%,2.8329%,0.8499%,16.4306%,8.4986%,14.1643%,0.2833%,0.2833%,0.0000%,0.0000%,0.0000%,0.0000%,11.0482%,0.0000%,,87,39,10,3,58,30,50,1,1,0,0,0,0,39,0
Cluster 496,269,269,301,,-14.3635,-27.6954,156.9755,0.6473,0.5471,0.4895,0.7261,1.5894,1.1735,1.0927,8.5370,,-14.3635,-27.6954,156.9755,0.6473,0.5471,0.4895,0.7261,1.5894,1.1735,1.0927,8.5370,,-14.3618,-27.6908,156.9819,0.6368,0.5418,0.4873,0.7043,1.5877,1.1689,1.0863,8.4444,,-14.3635,-27.6954,156.9755,0.4821,0.5145,0.6788,0.7053,1.0026,1.0964,1.5168,6.9841,,-14.3635,-27.6954,156.9755,0.4821,0.5145,0.6788,0.7053,1.0026,1.0964,1.5168,6.9841,,-14.3618,-27.6908,156.9819,0.4811,0.5062,0.6700,0.6835,1.0136,1.1760,1.5060,7.5193,,24.1636%,10.7807%,1.4870%,0.3717%,18.9591%,9.6654%,19.3309%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,15.2416%,0.0000%,,21.5947%,9.6346%,1.3289%,0.3322%,16.9435%,8.6379%,17.2757%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,13.6213%,0.0000%,,65,29,4,1,51,26,52,0,0,0,0,0,0,41,0
Cluster 497,1722,1723,1894,,-22.2413,0.6948,158.7012,0.9821,0.9194,0.9716,3.6746,2.2311,2.4333,2.0867,47.4533,,-22.2412,0.6949,158.7022,0.9818,0.9191,0.9721,3.6745,2.2311,2.4334,2.0876,47.4737,,-22.2357,0.6968,158.6971,0.9877,0.9177,0.9701,3.6832,2.3102,2.4353,2.0873,49.1885,,-22.2413,0.6948,158.7012,0.8794,0.9381,1.0490,3.6249,1.9450,2.1214,2.2950,39.6642,,-22.2412,0.6949,158.7022,0.8792,0.9382,1.0490,3.6247,1.9468,2.1205,2.2951,39.6858,,-22.2357,0.6968,158.6971,0.8773,0.9378,1.0534,3.6303,1.9478,2.1245,2.3015,39.8933,,22.6930%,10.9692%,1.9733%,0.6384%,24.0279%,7.1387%,17.5276%,0.1741%,0.1741%,0.2322%,0.0000%,0.0000%,0.0580%,14.3935%,0.0000%,,20.6441%,9.9789%,1.7951%,0.5808%,21.8585%,6.4942%,15.9451%,0.1584%,0.1584%,0.2112%,0.0000%,0.0000%,0.0528%,13.0940%,0.0000%,,391,189,34,11,414,123,302,3,3,4,0,0,1,248,0
Cluster 498,763,763,890,,35.8741,0.7898,157.6923,0.8159,0.7941,0.7311,1.9842,1.8705,1.7588,1.6289,22.4457,,35.8741,0.7898,157.6923,0.8159,0.7941,0.7311,1.9842,1.8705,1.7588,1.6289,22.4457,,35.8713,0.8093,157.6919,0.8142,0.8018,0.7310,1.9989,1.8733,1.8751,1.6677,24.5382,,35.8741,0.7898,157.6923,0.7091,0.7556,0.8701,1.9528,1.7227,1.7311,2.0900,26.1069,,35.8741,0.7898,157.6923,0.7091,0.7556,0.8701,1.9528,1.7227,1.7311,2.0900,26.1069,,35.8713,0.8093,157.6919,0.7110,0.7615,0.8688,1.9702,1.6870,1.7362,2.0713,25.4124,,30.7995%,11.5334%,1.9659%,0.3932%,23.3290%,8.9122%,11.0092%,0.1311%,0.2621%,0.0000%,0.0000%,0.0000%,0.0000%,11.6645%,0.0000%,,26.4045%,9.8876%,1.6854%,0.3371%,20.0000%,7.6404%,9.4382%,0.1124%,0.2247%,0.0000%,0.0000%,0.0000%,0.0000%,10.0000%,0.0000%,,235,88,15,3,178,68,84,1,2,0,0,0,0,89,0
Cluster 499,7160,7170,8083,,8.5549,14.2233,160.0871,1.4553,2.4315,1.4191,21.0342,3.2539,5.6246,3.2905,252.2534,,8.5557,14.2233,160.0863,1.4550,2.4314,1.4196,21.0374,3.2547,5.6246,3.2897,252.2534,,8.5572,14.2538,160.0772,1.4508,2.4286,1.4207,20.9676,3.2561,5.5941,3.2806,250.3061,,8.5549,14.2233,160.0871,1.2941,1.4178,2.5217,19.3805,2.8046,3.2012,5.6061,210.8313,,8.5557,14.2233,160.0863,1.2942,1.4178,2.5217,19.3822,2.8049,3.2007,5.6055,210.7972,,8.5572,14.2538,160.0772,1.2911,1.4168,2.5193,19.3039,2.7974,3.2031,5.5725,209.1574,,22.6639%,10.6276%,2.0223%,0.1953%,27.8801%,9.7071%,11.5621%,0.0837%,0.3626%,0.1953%,0.0000%,0.0279%,0.1116%,14.5607%,0.0000%,,20.1039%,9.4272%,1.7939%,0.1732%,24.7309%,8.6107%,10.2561%,0.0742%,0.3217%,0.1732%,0.0000%,0.0247%,0.0990%,12.9160%,0.0000%,,1625,762,145,14,1999,696,829,6,26,14,0,2,8,1044,0
Cluster 500,2724,2726,3164,,21.8988,21.1556,158.5781,1.2851,1.0891,1.1631,6.8189,3.1322,2.5501,2.6501,88.6696,,21.8993,21.1554,158.5776,1.2853,1.0887,1.1632,6.8180,3.1328,2.5500,2.6506,88.6957,,21.9220,21.1530,158.5755,1.2910,1.0870,1.1639,6.8417,3.1555,2.5476,2.6528,89.3273,,21.8988,21.1556,158.5781,1.0738,1.1613,1.2995,6.7880,2.4007,2.6792,3.1147,83.9176,,21.8993,21.1554,158.5776,1.0734,1.1614,1.2997,6.7870,2.4008,2.6802,3.1145,83.9459,,21.9220,21.1530,158.5755,1.0726,1.1607,1.3059,6.8099,2.4651,2.7051,3.0928,86.3916,,25.8988%,12.3624%,2.2010%,0.5136%,24.4681%,9.3177%,12.6926%,0.1101%,0.1467%,0.2201%,0.0000%,0.0000%,0.0734%,11.9956%,0.0000%,,22.3135%,10.6511%,1.8963%,0.4425%,21.0809%,8.0278%,10.9355%,0.0948%,0.1264%,0.1896%,0.0000%,0.0000%,0.0632%,10.3350%,0.0000%,,706,337,60,14,667,254,346,3,4,6,0,0,2,327,0
Cluster 501,1030,1030,1138,,-17.5924,26.9805,158.0453,0.7935,0.7743,1.0103,2.6002,1.9022,1.9305,2.2693,34.9051,,-17.5924,26.9805,158.0453,0.7935,0.7743,1.0103,2.6002,1.9022,1.9305,2.2693,34.9051,,-17.5871,26.9809,158.0468,0.7956,0.7678,1.0118,2.5890,1.9433,1.9301,2.2678,35.6285,,-17.5924,26.9805,158.0453,0.7363,0.7567,1.0654,2.4866,1.6225,1.6596,2.4118,27.2037,,-17.5924,26.9805,158.0453,0.7363,0.7567,1.0654,2.4866,1.6225,1.6596,2.4118,27.2037,,-17.5871,26.9809,158.0468,0.7321,0.7542,1.0684,2.4711,1.6118,1.6783,2.4120,27.3307,,23.8835%,11.7476%,2.0388%,0.2913%,25.2427%,7.1845%,14.4660%,0.0000%,0.0000%,0.1942%,0.0000%,0.0000%,0.0000%,14.9515%,0.0000%,,21.6169%,10.6327%,1.8453%,0.2636%,22.8471%,6.5026%,13.0931%,0.0000%,0.0000%,0.1757%,0.0000%,0.0000%,0.0000%,13.5325%,0.0000%,,246,121,21,3,260,74,149,0,0,2,0,0,0,154,0
Cluster 502,556,556,626,,0.5565,27.5237,158.0872,0.6345,0.7117,0.7160,1.3542,1.4559,1.6200,1.5731,15.5416,,0.5565,27.5237,158.0872,0.6345,0.7117,0.7160,1.3542,1.4559,1.6200,1.5731,15.5416,,0.5511,27.5186,158.1042,0.6484,0.6990,0.7153,1.3580,1.4505,1.6149,1.5561,15.2681,,0.5565,27.5237,158.0872,0.6222,0.7061,0.7321,1.3473,1.4926,1.5470,1.6046,15.5197,,0.5565,27.5237,158.0872,0.6222,0.7061,0.7321,1.3473,1.4926,1.5470,1.6046,15.5197,,0.5511,27.5186,158.1042,0.6321,0.6947,0.7338,1.3499,1.4742,1.5642,1.6304,15.7484,,25.8993%,11.6906%,2.1583%,0.3597%,25.5396%,10.2518%,13.1295%,0.0000%,0.3597%,0.5396%,0.0000%,0.0000%,0.0000%,10.0719%,0.0000%,,23.0032%,10.3834%,1.9169%,0.3195%,22.6837%,9.1054%,11.6613%,0.0000%,0.3195%,0.4792%,0.0000%,0.0000%,0.0000%,8.9457%,0.0000%,,144,65,12,2,142,57,73,0,2,3,0,0,0,56,0
Cluster 503,829,829,926,,-12.2365,-22.0307,159.5883,0.7549,0.7642,0.9282,2.2433,1.7843,1.8260,2.2686,30.9609,,-12.2365,-22.0307,159.5883,0.7549,0.7642,0.9282,2.2433,1.7843,1.8260,2.2686,30.9609,,-12.2346,-22.0272,159.5823,0.7538,0.7562,0.9314,2.2238,1.7862,1.8225,2.2747,31.0176,,-12.2365,-22.0307,159.5883,0.6655,0.7850,0.9780,2.1402,1.5238,1.6317,2.0415,21.2615,,-12.2365,-22.0307,159.5883,0.6655,0.7850,0.9780,2.1402,1.5238,1.6317,2.0415,21.2615,,-12.2346,-22.0272,159.5823,0.6678,0.7770,0.9787,2.1270,1.5463,1.6370,2.0641,21.8849,,23.0398%,11.4596%,1.5682%,0.7238%,22.9192%,7.1170%,17.7322%,0.0000%,0.4825%,0.0000%,0.0000%,0.0000%,0.0000%,14.9578%,0.0000%,,20.6263%,10.2592%,1.4039%,0.6479%,20.5184%,6.3715%,15.8747%,0.0000%,0.4320%,0.0000%,0.0000%,0.0000%,0.0000%,13.3909%,0.0000%,,191,95,13,6,190,59,147,0,4,0,0,0,0,124,0
Cluster 504,422,422,487,,32.8983,-3.1256,158.8421,0.5542,0.7631,0.5288,0.9368,1.1899,1.6131,1.2770,10.2666,,32.8983,-3.1256,158.8421,0.5542,0.7631,0.5288,0.9368,1.1899,1.6131,1.2770,10.2666,,32.8880,-3.1060,158.8394,0.5604,0.7515,0.5241,0.9246,1.1795,1.6326,1.3138,10.5973,,32.8983,-3.1256,158.8421,0.5055,0.5696,0.7676,0.9256,1.1747,1.2410,1.5876,9.6940,,32.8983,-3.1256,158.8421,0.5055,0.5696,0.7676,0.9256,1.1747,1.2410,1.5876,9.6940,,32.8880,-3.1060,158.8394,0.5081,0.5692,0.7559,0.9156,1.1910,1.2505,1.5881,9.9072,,28.6730%,12.7962%,2.3697%,0.2370%,23.9336%,8.2938%,13.0332%,0.0000%,0.2370%,0.2370%,0.0000%,0.0000%,0.0000%,10.1896%,0.0000%,,24.8460%,11.0883%,2.0534%,0.2053%,20.7392%,7.1869%,11.2936%,0.0000%,0.2053%,0.2053%,0.0000%,0.0000%,0.0000%,8.8296%,0.0000%,,121,54,10,1,101,35,55,0,1,1,0,0,0,43,0
Cluster 505,2278,2280,2534,,24.9807,-0.9919,160.3777,1.1163,0.9961,1.3284,6.1870,2.6202,2.2648,2.8387,70.5620,,24.9811,-0.9916,160.3783,1.1159,0.9957,1.3286,6.1836,2.6198,2.2651,2.8392,70.5755,,24.9848,-0.9828,160.3634,1.1150,0.9907,1.3281,6.1454,2.6161,2.2738,2.8244,70.3768,,24.9807,-0.9919,160.3777,0.9776,1.0914,1.3623,6.0888,2.1884,2.5337,2.8567,66.3491,,24.9811,-0.9916,160.3783,0.9773,1.0909,1.3626,6.0851,2.1875,2.5337,2.8574,66.3385,,24.9848,-0.9828,160.3634,0.9705,1.0906,1.3628,6.0423,2.1759,2.5381,2.8434,65.7766,,26.0526%,13.1579%,2.3246%,0.4825%,21.9298%,9.2982%,14.0789%,0.0877%,0.1754%,0.2193%,0.0000%,0.0000%,0.0877%,12.1053%,0.0000%,,23.4412%,11.8390%,2.0916%,0.4341%,19.7316%,8.3662%,12.6677%,0.0789%,0.1579%,0.1973%,0.0000%,0.0000%,0.0789%,10.8919%,0.0000%,,594,300,53,11,500,212,321,2,4,5,0,0,2,276,0
Cluster 506,218,218,245,,-15.9175,14.6113,158.3975,0.5247,0.4710,0.4254,0.4403,1.1639,1.1937,0.9940,5.7849,,-15.9175,14.6113,158.3975,0.5247,0.4710,0.4254,0.4403,1.1639,1.1937,0.9940,5.7849,,-15.9201,14.6083,158.4042,0.5234,0.4722,0.4286,0.4437,1.1613,1.1967,0.9874,5.7476,,-15.9175,14.6113,158.3975,0.3970,0.4691,0.5481,0.4276,0.9646,1.1166,1.1763,5.3068,,-15.9175,14.6113,158.3975,0.3970,0.4691,0.5481,0.4276,0.9646,1.1166,1.1763,5.3068,,-15.9201,14.6083,158.4042,0.4002,0.4744,0.5435,0.4323,0.9756,1.1043,1.1804,5.3270,,22.4771%,10.5505%,0.4587%,0.4587%,28.4404%,8.2569%,13.7615%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,15.5963%,0.0000%,,20.0000%,9.3878%,0.4082%,0.4082%,25.3061%,7.3469%,12.2449%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,13.8776%,0.0000%,,49,23,1,1,62,18,30,0,0,0,0,0,0,34,0
Cluster 507,501,502,557,,11.3729,-19.2457,159.4443,0.5945,0.6683,0.6420,1.0684,1.3232,1.4805,1.3324,10.9327,,11.3726,-19.2449,159.4421,0.5940,0.6679,0.6433,1.0689,1.3228,1.4813,1.3301,10.9176,,11.3786,-19.2327,159.4313,0.5905,0.6711,0.6360,1.0558,1.3288,1.4936,1.3193,10.9679,,11.3729,-19.2457,159.4443,0.5261,0.6062,0.7537,1.0068,1.2125,1.3765,1.6109,11.2619,,11.3726,-19.2449,159.4421,0.5265,0.6056,0.7542,1.0071,1.2146,1.3767,1.6124,11.2943,,11.3786,-19.2327,159.4313,0.5271,0.6048,0.7484,0.9992,1.2093,1.3977,1.6362,11.5838,,23.3068%,17.1315%,1.5936%,0.3984%,19.7211%,7.3705%,14.7410%,0.1992%,0.5976%,0.1992%,0.0000%,0.0000%,0.1992%,14.5418%,0.0000%,,21.0054%,15.4399%,1.4363%,0.3591%,17.7738%,6.6427%,13.2855%,0.1795%,0.5386%,0.1795%,0.0000%,0.0000%,0.1795%,13.1059%,0.0000%,,117,86,8,2,99,37,74,1,3,1,0,0,1,73,0
Cluster 508,2173,2173,2449,,9.8145,3.6551,161.0979,1.0063,1.1245,1.1487,5.4452,2.2193,2.6448,2.5440,62.5494,,9.8145,3.6551,161.0979,1.0063,1.1245,1.1487,5.4452,2.2193,2.6448,2.5440,62.5494,,9.8127,3.6525,161.0873,1.0045,1.1290,1.1424,5.4271,2.2211,2.6422,2.5593,62.9135,,9.8145,3.6551,161.0979,0.9569,1.1277,1.1872,5.3663,2.1279,2.5280,2.6955,60.7356,,9.8145,3.6551,161.0979,0.9569,1.1277,1.1872,5.3663,2.1279,2.5280,2.6955,60.7356,,9.8127,3.6525,161.0873,0.9547,1.1253,1.1878,5.3457,2.1304,2.4781,2.6338,58.2437,,24.8044%,10.8606%,2.4390%,0.5522%,26.1850%,7.7773%,13.9439%,0.0460%,0.0920%,0.2301%,0.0000%,0.0000%,0.0000%,13.0695%,0.0000%,,22.0090%,9.6366%,2.1641%,0.4900%,23.2340%,6.9008%,12.3724%,0.0408%,0.0817%,0.2042%,0.0000%,0.0000%,0.0000%,11.5966%,0.0000%,,539,236,53,12,569,169,303,1,2,5,0,0,0,284,0
Cluster 509,71,71,81,,-3.1291,-27.5323,159.8849,0.3852,0.3859,0.3594,0.2238,0.8275,0.7374,0.8317,2.1260,,-3.1291,-27.5323,159.8849,0.3852,0.3859,0.3594,0.2238,0.8275,0.7374,0.8317,2.1260,,-3.1342,-27.5335,159.8753,0.3773,0.3786,0.3585,0.2145,0.8225,0.7387,0.8220,2.0919,,-3.1291,-27.5323,159.8849,0.3585,0.3728,0.3987,0.2232,0.7403,0.7989,0.9380,2.3237,,-3.1291,-27.5323,159.8849,0.3585,0.3728,0.3987,0.2232,0.7403,0.7989,0.9380,2.3237,,-3.1342,-27.5335,159.8753,0.3561,0.3654,0.3923,0.2138,0.7485,0.6807,0.9710,2.0723,,28.1690%,7.0423%,1.4085%,0.0000%,19.7183%,7.0423%,19.7183%,0.0000%,1.4085%,1.4085%,0.0000%,0.0000%,0.0000%,14.0845%,0.0000%,,24.6914%,6.1728%,1.2346%,0.0000%,17.2840%,6.1728%,17.2840%,0.0000%,1.2346%,1.2346%,0.0000%,0.0000%,0.0000%,12.3457%,0.0000%,,20,5,1,0,14,5,14,0,1,1,0,0,0,10,0
